ciptd,cipsd,cipm,dcptd,dcpsd,dcpm,rllsd,rlltd,sfr,sft,dcpd(dependent)
1,1,-10,5.399993896,4.089996338,-23.08000946,0,3,-34.47091245,-8.154784916,-1.589996338
3,3,6,0.129999876,0.190000057,1.220000148,0,0,-34.47091245,-8.154784916,-0.189999819
1,-2,-5,0.029999971,-0.180000067,-0.493999958,2,2,-34.47091245,-8.154784916,-0.039999962
0,-2,-12,0.110000014,-0.139999986,-0.919999838,0,0,-34.47091245,-8.154784916,-0.149999976
1,3,0,-0.050000191,0.260000229,-0.149232523,0,0,-34.47091245,-8.154784916,-0.159999847
-1,-3,0,0.38999939,-2.720003128,5.01999855,0,0,-34.47091245,-8.154784916,-1.479999542
-1,-5,-12,0.000999987,-0.019000024,-0.234999865,0,0,-34.47091245,-8.154784916,-0.034000009
3,1,1,4.939994812,4.819992065,2.885389841,0,0,-34.47091245,-8.154784916,-0.529998779
3,3,2,0.569999695,0.879999161,0.826628401,0,0,-34.47091245,-8.154784916,-0.11000061
1,1,-4,1.139995575,0.389995575,-3.359989166,0,0,-34.47091245,-8.154784916,0.400001526
1,1,3,-0.119998932,-0.009994507,0.410003662,0,0,-34.47091245,-8.154784916,0.069999695
1,3,-11,0.199999809,0.170000553,-2.250000954,0,0,-34.47091245,-8.154784916,-0.039999962
3,3,0,0.068000019,0.002999961,-0.561999798,0,2,-34.47091245,-8.154784916,-0.059000015
3,1,0,0.139999866,-0.160000324,-0.769999981,2,4,-34.47091245,-8.154784916,-0.18999958
-1,-5,-2,-0.008000016,-0.106000066,-0.345000088,0,0,-34.47091245,-8.154784916,-0.002000004
3,1,-2,2.004795769,1.0613849,-4.162118611,0,0,-34.47091245,-8.154784916,0.030002594
3,5,4,3.659999847,4.220005035,12.69001389,0,0,-34.47091245,-8.154784916,-1.430000305
1,3,6,1.070001602,1.738004684,4.088006973,0,2,-34.47091245,-8.154784916,-0.510000229
3,3,2,0.309999466,0.400000572,0.056875663,0,2,-34.47091245,-8.154784916,-0.06000042
1,3,4,0.440000534,1.040000916,2.09000206,0,0,-34.47091245,-8.154784916,-0.789999962
3,3,7,1.939996719,1.839998245,3.139996529,0,0,-34.47091245,-8.154784916,-2.899999619
2,2,0,0.229070581,0.298530275,0.280492914,0,0,-34.47091245,-8.154784916,-0.090000153
3,3,-1,1.480003357,1.020000458,-3.480279006,0,0,-34.47091245,-8.154784916,-0.409999847
3,5,10,0.291999936,0.207000017,0.751999974,0,0,-34.47091245,-8.154784916,-0.005000114
1,3,14,0.109999657,0.43999958,2.46999979,0,0,-34.47091245,-8.154784916,-0.329999924
1,-1,-5,0.01000005,-0.049999893,-0.289999962,0,0,-34.47091245,-8.154784916,-0.040000021
3,4,1,2.38999939,2.379997253,-2.124855369,0,0,-34.47091245,-8.154784916,-0.13999939
3,3,0,3.739997864,3.529998779,0.239982605,0,0,-34.47091245,-8.154784916,-0.790000916
-1,-1,-2,0.100000381,-0.278999329,-3.326002121,0,0,-34.47091245,-8.154784916,0.449999809
3,3,0,0.170000076,0.199999809,-0.142083004,0,0,-34.47091245,-8.154784916,-0.010000229
3,3,-6,5.36000061,5.789993286,-2.059989929,2,2,-34.47091245,-8.154784916,-2.180000305
1,1,5,0.440002441,0.850006104,1.210021973,0,4,-34.47091245,-8.154784916,0.369998932
0,-2,-7,0.299999237,0.109999657,-2.364999771,0,0,-34.47091245,-8.154784916,-0.600000381
0,-3,-12,-0.00999999,-0.069999933,-0.409999967,0,0,-34.47091245,-8.154784916,-0.01000005
3,1,-10,4.569999695,2.510002136,-7.539993286,0,0,-34.47091245,-8.154784916,-0.270004272
3,5,5,0.349999905,0.549999714,1.510000229,0,0,-34.47091245,-8.154784916,0.059999943
3,1,-4,4.619995117,-1.979980469,-8.700012207,0,0,-34.47091245,-8.154784916,0.080001831
1,3,2,5.320022583,4.310028076,12.12002563,0,4,-34.47091245,-8.154784916,-2.050003052
-1,1,0,0.200000763,0.880001068,-0.179992676,0,0,-34.47091245,-8.154784916,0.260002136
3,3,2,0.529999733,0.500000954,-1.139997482,2,2,-34.47091245,-8.154784916,-0.039999962
1,1,-2,4.489997864,3.890022278,-5.409980774,0,0,-34.47091245,-8.154784916,1.049995422
1,1,1,0.029000014,0.041000038,-0.10499993,0,0,-34.47091245,-8.154784916,-0.024999976
3,5,2,0.370000839,0.540000916,-0.848800923,0,1,-34.47091245,-8.154784916,-0.289999008
1,-1,-4,-0.020000458,-0.06000042,2.430000305,0,0,-34.47091245,-8.154784916,-0.349999428
3,3,2,0.570000172,0.75999999,0.449999094,0,0,-34.47091245,-8.154784916,-0.180000305
-1,-1,-1,-0.010999978,-0.031999946,-0.246000051,0,0,-34.47091245,-8.154784916,0.080000043
3,1,2,0.389999866,0.210000038,0.759998798,0,0,-34.47091245,-8.154784916,-0.429999828
3,5,4,1.540000916,2.550001144,1.429992676,0,1,-34.47091245,-8.154784916,-0.669998169
3,5,-6,15.49000549,21.86000061,-9.415044779,0,-1,-34.47091245,-8.154784916,-6.539993286
3,1,6,2.539999008,1.209999084,6.899999619,0,0,-34.47091245,-8.154784916,-1.440000534
3,5,14,2.459999084,2.650001526,6.379989624,0,0,-34.47091245,-8.154784916,-0.380004883
-1,-3,-10,0.069999695,-0.450000763,-7.485879941,0,0,-34.47091245,-8.154784916,-0.760002136
1,1,8,0.210000515,-0.18999958,1.359999657,0,0,-34.47091245,-8.154784916,0.129999638
1,3,4,-0.069999695,0.17999649,-4.050010681,0,0,-34.47091245,-8.154784916,-0.020000458
1,-1,2,0.499999046,-0.400000572,2.519998074,0,4,-34.47091245,-8.154784916,-0.600000381
1,1,-1,0.540000916,0.380001068,-0.97323402,0,0,-34.47091245,-8.154784916,-0.060001373
3,5,6,6.060012817,6.516822538,4.65978805,0,0,-34.47091245,-8.154784916,0.75
3,5,2,1.70999527,2.189996719,-0.760009766,1,2,-34.47091245,-8.154784916,-0.430000305
3,5,0,25.72000122,34.13000488,29.13995361,2,4,-34.47091245,-8.154784916,-12.82000732
1,1,0,-0.049999952,0.100000143,-0.059999704,0,0,-34.47091245,-8.154784916,-0.090000033
1,3,-2,2.680000305,2.399993896,-13.51000977,0,2,-34.47091245,-8.154784916,-3.680000305
1,1,2,0.190000057,0.225999832,0.785998821,0,0,-34.47091245,-8.154784916,0.170000076
0,-3,-7,-0.00999999,-0.159999847,-0.280000448,0,0,-34.47091245,-8.154784916,-0.029999971
1,1,-3,0.910003662,1.110004425,-1.410003662,1,2,-34.47091245,-8.154784916,-0.759998322
-1,-3,-2,-0.61000061,-1.620002747,0.959993362,0,0,-34.47091245,-8.154784916,-0.309999466
-1,-5,-12,-1.480003357,-7.900001526,-6.390022278,2,2,-34.47091245,-8.154784916,0.079994202
3,3,-2,6.029998779,6.479995728,-0.611821271,2,4,-34.47091245,-8.154784916,-0.599998474
3,1,2,0.940000296,0.630000114,1.359999657,0,0,-34.47091245,-8.154784916,-0.430000067
3,1,10,1.859999657,1.619998932,5.799999237,0,2,-34.47091245,-8.154784916,-1.119999886
3,2,0,0.699999809,0.649999619,0.54999876,0,0,-34.47091245,-8.154784916,-0.519999981
3,5,2,1.61000061,2.279998779,-1.789991379,4,5,-34.47091245,-8.154784916,-0.689998627
-1,-4,-9,-0.015000015,-0.071000025,-0.172000043,0,0,-34.47091245,-8.154784916,-0.017000005
1,-1,10,3.269989014,2.369979858,32.82997894,0,0,-34.47091245,-8.154784916,-5.299987793
-1,3,9,-0.280000687,1.349999428,3.439996719,0,0,-34.47091245,-8.154784916,-0.719999313
1,1,2,0.130000114,0.220000267,0.530004501,0,0,-34.47091245,-8.154784916,-0.420000076
3,3,6,4.579994202,4.539993286,9.999984741,0,0,-34.47091245,-8.154784916,-0.950004578
-2,-6,-16,-0.032999992,-0.082000002,-0.317999974,0,2,-34.47091245,-8.154784916,-0.024000004
-1,-3,-8,0.090000153,-0.190002441,-1.928436511,0,0,-34.47091245,-8.154784916,-0.309999466
3,1,-4,2.239997864,2.129997253,-0.009998322,0,0,-34.47091245,-8.154784916,-0.61000061
3,5,12,2.149999619,1.779999733,9.884999275,0,0,-34.47091245,-8.154784916,0.079999924
1,3,-2,0.989999771,1.630000114,0.040003777,0,0,-34.47091245,-8.154784916,-0.25
3,5,10,3.060005188,5.480007172,6.620002747,2,0,-34.47091245,-8.154784916,0.209999084
3,3,5,3.900001526,3.379989624,4.579986572,6,6,-34.47091245,-8.154784916,-2.299995422
3,3,3,0.429999828,0.629999638,1.64999938,0,0,-34.47091245,-8.154784916,-0.389999866
-1,-1,-2,-2.690002441,1.369995117,-9.959991455,0,0,-34.47091245,-8.154784916,-1.350006104
3,1,11,1.239998817,1.489997864,5.094998837,0,0,-34.47091245,-8.154784916,-0.440000534
3,5,-1,0.419999123,0.990000725,-0.619997025,0,0,-34.47091245,-8.154784916,-0.150000572
-1,-1,4,0.450000763,0.510002136,-0.139997482,0,0,-34.47091245,-8.154784916,-0.009998322
3,5,0,8.490005493,13.72000122,-0.149986267,2,5,-34.47091245,-8.154784916,-2.040000916
3,5,4,9.790000916,11.2100029,2.349998474,0,-1,-34.47091245,-8.154784916,-1.709999084
-1,1,4,0.109999657,0.230000496,1.310003281,0,0,-34.47091245,-8.154784916,-0.380000114
-2,-3,-7,-0.050999999,-0.036000013,-0.340999931,0,0,-34.47091245,-8.154784916,0.025000006
-1,3,8,-0.949998856,0.290001869,5.710001945,0,-2,-34.47091245,-8.154784916,-1.200000763
1,1,2,0.25,0.31000042,0.369999886,2,2,-34.47091245,-8.154784916,-0.079999924
3,5,0,2.620004654,3.04000473,-0.969999313,0,0,-34.47091245,-8.154784916,-0.229999542
3,5,-6,8.649993896,12.56998444,-10.20002747,1,4,-34.47091245,-8.154784916,-2.099998474
3,5,2,5.009994507,5.589988708,1.382547919,4,4,-34.47091245,-8.154784916,-0.809997559
1,3,10,4.61000061,9.27999115,37.85996246,0,2,-34.47091245,-8.154784916,0.86000061
3,3,9,7.030002594,5.960006714,18.47000122,0,0,-34.47091245,-8.154784916,-1.590000153
3,5,2,5.390007019,6.059997559,0.249992371,0,2,-34.47091245,-8.154784916,-1.590003967
1,3,-2,0.330001831,-1.790008545,-1.390014648,0,0,-34.47091245,-8.154784916,-0.850006104
1,3,8,0.490001678,1.459999084,0.506342071,0,5,-34.47091245,-8.154784916,-0.150001526
3,5,2,1.199998856,1.179998398,-0.860002518,0,2,-34.47091245,-8.154784916,-0.149999619
3,5,2,1.600000381,1.96999836,-0.830001831,0,2,-34.47091245,-8.154784916,-0.409999847
3,5,8,2.77999115,10.32998657,25.95999146,0,0,-34.47091245,-8.154784916,-11.22000122
1,2,1,0.469997406,1.049995422,0.11000061,0,0,-34.47091245,-8.154784916,-0.720001221
3,1,7,2.449998856,1.829998016,2.940002441,0,0,-34.47091245,-8.154784916,-0.359998703
-2,-2,-5,-1.129999161,-1.48000145,-1.770002365,0,0,-34.47091245,-8.154784916,-0.040000916
3,3,0,12.92999268,11.80996704,-6.820007324,0,0,-34.47091245,-8.154784916,-1.790008545
2,2,-1,0.020000011,0.020000011,-0.039999992,0,0,-34.47091245,-8.154784916,-0.010000005
-1,1,8,-0.630001068,0.720001221,-3.099994659,0,0,-34.47091245,-8.154784916,-0.130001068
1,3,-5,0.130000114,0.599999905,-2.020000935,0,0,-34.47091245,-8.154784916,-0.25
3,3,2,2.879997253,3.479995728,-1.309997559,0,0,-34.47091245,-8.154784916,-2.490001678
-1,1,4,0.040000916,1.040000916,-1.430007935,0,0,-34.47091245,-8.154784916,-1.25
-1,-1,3,-0.019999862,-0.149999857,-0.329999804,0,0,-34.47091245,-8.154784916,-0.060000062
3,1,1,0.460000038,0.079999924,-0.25,0,0,-34.47091245,-8.154784916,-0.360000014
3,3,2,0.2099998,0.160000086,0.079999685,0,0,-34.47091245,-8.154784916,-0.169999838
1,3,-2,0.380000591,0.690000534,-0.009998798,0,0,-34.47091245,-8.154784916,-0.340000153
3,-1,-2,0.560001373,-2.289997101,-1.951182302,0,0,-34.47091245,-8.154784916,-0.330001831
3,3,4,1.330001831,1.580001831,-0.369997025,0,0,-34.47091245,-8.154784916,-0.440000534
1,1,2,4.520004272,2.450012207,14.88986,2,5,-34.47091245,-8.154784916,3.050018311
1,1,-5,-1.170001984,-0.98000145,-1.329999924,0,0,-34.47091245,-8.154784916,0.040000916
1,-1,2,0.00999999,-0.180000067,-0.224999666,0,0,-34.47091245,-8.154784916,-0.129999876
1,1,-6,0.320000648,0.42000103,-1.309999943,0,0,-34.47091245,-8.154784916,-0.639999866
3,3,0,2.270000458,2.889995575,-3.600002289,0,0,-34.47091245,-8.154784916,-0.029998779
3,3,7,0.510000229,0.450000286,1.410000563,0,0,-34.47091245,-8.154784916,-0.230000019
1,-1,10,-0.5,-1.309997559,0.289995193,0,1,-34.47091245,-8.154784916,0.200000763
1,-1,-3,0.289999962,0.420000553,0.20800066,0,0,-34.47091245,-8.154784916,0.130000114
3,5,6,8.089996338,11.66000366,12.88001251,6,18,-34.47091245,-8.154784916,-2.590003967
-1,3,0,-0.589996338,3.909996033,-0.919998169,4,5,-34.47091245,-8.154784916,0.069999695
1,5,6,1.590000153,2.659999847,2.059999466,0,0,-34.47091245,-8.154784916,-1.149999619
1,1,-6,1.370004654,1.740003586,-6.093561658,0,0,-34.47091245,-8.154784916,-0.369998932
3,5,8,4.209991455,8.589988708,10.30000305,1,4,-34.47091245,-8.154784916,-2.630004883
3,3,-2,1.809999466,1.890001297,-0.389997482,0,0,-34.47091245,-8.154784916,-0.079999924
3,7,2,0.399999619,1.609999657,0.490000486,0,0,-34.47091245,-8.154784916,-0.190000057
3,3,12,1.510004044,2.29000473,3.050006866,0,2,-34.47091245,-8.154784916,-0.279998779
1,3,6,0.059999466,-0.329999924,1.490007401,0,0,-34.47091245,-8.154784916,-0.210000992
1,3,4,-0.090000153,1.719999313,6.210000992,0,0,-34.47091245,-8.154784916,0.100000381
3,-1,-5,0.810000181,0.570000172,-0.049999475,0,0,-34.47091245,-8.154784916,-0.380000114
-1,3,0,-0.040000439,0.960000038,0.68000102,0,0,-34.47091245,-8.154784916,-0.199999809
3,5,4,16.92001343,15.11999512,9.499969482,0,0,-34.47091245,-8.154784916,-0.399993896
1,1,0,-7.829986572,-8.329986572,-6.830782873,0,0,-34.47091245,-8.154784916,-2.299987793
-1,-3,2,-0.410000801,-1.61000061,-0.240001678,0,0,-34.47091245,-8.154784916,-0.589999199
1,0,-10,0.074000001,0.048000038,-0.188000023,0,0,-34.47091245,-8.154784916,-0.052999973
1,1,4,7.940002441,9.350006104,20.81993103,0,0,-34.47091245,-8.154784916,-1.180023193
3,5,0,2.620002747,3.130008698,1.83001709,0,0,-34.47091245,-8.154784916,-0.049999237
3,5,0,4.799999237,5.880001068,2.480010986,0,0,-34.47091245,-8.154784916,-1.510002136
-3,-3,-7,-0.18999958,-1.030000687,-2.450001717,2,2,-34.47091245,-8.154784916,-0.21999979
3,5,10,0.559999943,1.009999514,1.020000219,0,0,-34.47091245,-8.154784916,0.180000305
1,1,-12,2.240860968,2.729110712,-11.4600335,4,5,-34.47091245,-8.154784916,-0.86000061
3,1,1,2.150001526,1.299999237,2.019989014,0,0,-34.47091245,-8.154784916,-0.560001373
3,-1,-2,8.239990234,1.229980469,1.157841194,0,2,-34.47091245,-8.154784916,-1.13999939
-3,-3,-14,-0.180000007,-0.129999995,-0.75,0,0,-34.47091245,-8.154784916,0.039999962
1,5,8,0.110002518,1.640001297,2.75,0,0,-34.47091245,-8.154784916,-0.190000534
3,3,1,0.460000038,0.320000172,-0.049999475,0,0,-34.47091245,-8.154784916,-0.190000057
3,5,-2,1.149997711,1.509998322,0.539992332,0,3,-34.47091245,-8.154784916,-0.329999924
3,5,2,3.709999084,4.310005188,1.585432717,0,1,-34.47091245,-8.154784916,-0.180000305
1,-1,-7,0.180000305,-0.519999504,-0.789999485,0,0,-34.47091245,-8.154784916,-0.180000305
3,5,2,0.350001335,0.990001678,-0.05342233,0,1,-34.47091245,-8.154784916,-0.520000458
-1,-3,2,-3.869998932,-7.560001373,2.809986115,4,4,-34.47091245,-8.154784916,-0.36000061
-2,-4,-1,-0.029999971,0.004000008,-0.125999928,0,0,-34.47091245,-8.154784916,-0.023000002
1,2,4,0.149000049,0.129000068,0.474999547,0,0,-34.47091245,-8.154784916,-0.080000043
3,3,-4,3.439998627,4.439990997,1.70999527,0,3,-34.47091245,-8.154784916,-0.880001068
3,4,-1,1.830001831,2.109996796,-3.614855796,0,0,-34.47091245,-8.154784916,-0.400001526
3,5,6,6.050003052,7.450004578,6.640022278,0,0,-34.47091245,-8.154784916,-2.680000305
3,1,-2,7.319999695,5.200000763,10.24000549,0,0,-34.47091245,-8.154784916,-2.990001678
3,3,-2,3.09000206,3.760002136,1.969995499,0,2,-34.47091245,-8.154784916,-0.88999939
0,4,-1,-0.080000043,0.203999996,0.173999965,0,0,-34.47091245,-8.154784916,0.00999999
-3,-3,6,-0.5,-0.849999905,0.740000248,2,2,-34.47091245,-8.154784916,-0.279999971
-1,-2,-8,-0.00999999,-0.040000021,-0.310000002,0,0,-34.47091245,-8.154784916,-0.030000031
