,name_of_stock,cipd(dependent),ciptd,cipsd,cipm,dcpd(dependent),dcptd,dcpsd,dcpm,rllsd,rlltd,sfr,sft
0,AA,-1,1,1,-6,-0.25,-0.17999649047851562,1.8400001525878906,-10.05499267578125,0,0,-33.47091245341089,-8.049239030842987
1,AACG,-1,3,2,3,-0.04999995231628418,0.3500000238418579,0.26999998092651367,0.1799999475479126,0,0,-33.47091245341089,-8.049239030842987
2,AAIC,-1,3,4,4,-0.029999971389770508,0.19000005722045898,0.20000028610229492,-0.20999956130981445,0,0,-33.47091245341089,-8.049239030842987
3,AAL,-1,1,1,0,-0.42999935150146484,-0.26000022888183594,-0.22999954223632812,-0.019997596740722656,0,0,-33.47091245341089,-8.049239030842987
4,AAN,-1,1,1,-4,-0.3699989318847656,0.6900005340576172,1.0600004196166992,-0.2700023651123047,0,0,-33.47091245341089,-8.049239030842987
5,AAOI,-1,3,3,-4,-0.1400001049041748,0.16000008583068848,0.2610001564025879,-0.32399988174438477,0,0,-33.47091245341089,-8.049239030842987
6,AAON,-1,3,1,4,-0.6800003051757812,4.650001525878906,1.6800003051757812,4.620002746582031,0,0,-33.47091245341089,-8.049239030842987
7,AAP,-1,1,3,0,-0.600006103515625,1.6899871826171875,4.4299774169921875,11.03997802734375,0,0,-33.47091245341089,-8.049239030842987
8,AAPL,-1,3,5,8,-1.3000030517578125,5.850006103515625,9.460006713867188,14.620010375976562,0,0,-33.47091245341089,-8.049239030842987
9,AAT,-1,1,1,-2,-0.23999977111816406,0.2500019073486328,0.42000389099121094,-0.7199974060058594,0,0,-33.47091245341089,-8.049239030842987
10,AAWW,1,3,5,4,1.0699996948242188,6.060009002685547,7.4000091552734375,1.1700057983398438,0,0,-33.47091245341089,-8.049239030842987
11,AB,-1,3,3,2,-0.8199996948242188,1.8800048828125,0.94000244140625,1.4400062561035156,0,0,-33.47091245341089,-8.049239030842987
12,ABB,-1,3,5,2,-0.18999862670898438,0.8299999237060547,1.3500003814697266,0.6600055694580078,0,0,-33.47091245341089,-8.049239030842987
13,ABBV,0,-1,1,8,0.0,-1.589996337890625,-2.339996337890625,7.089996337890625,0,0,-33.47091245341089,-8.049239030842987
14,ABC,-1,1,1,2,-0.970001220703125,0.470001220703125,0.6399993896484375,0.39007568359375,0,0,-33.47091245341089,-8.049239030842987
15,ABCB,-1,3,1,-6,-0.17999649047851562,1.6100006103515625,0.8499984741210938,-2.5400047302246094,0,0,-33.47091245341089,-8.049239030842987
16,ABCL,-1,1,-1,12,-0.4099998474121094,-0.09000015258789062,-0.7299995422363281,3.7500033378601074,0,0,-33.47091245341089,-8.049239030842987
17,ABCM,-1,3,5,14,-0.13000011444091797,1.7200002670288086,1.8299999237060547,5.2599992752075195,0,0,-33.47091245341089,-8.049239030842987
18,ABEO,-1,1,-1,0,-0.2999997138977051,0.3000001907348633,-0.42999982833862305,1.619999885559082,0,0,-33.47091245341089,-8.049239030842987
19,ABEV,-1,-1,-1,2,-0.009999990463256836,-0.03000020980834961,0.009999990463256836,0.08999991416931152,0,0,-33.47091245341089,-8.049239030842987
20,ABG,-1,1,1,2,-1.0,3.27001953125,4.980010986328125,-5.4900054931640625,0,0,-33.47091245341089,-8.049239030842987
21,ABIO,-1,1,1,10,-0.059999942779541016,0.029999971389770508,0.009999990463256836,0.5099997520446777,0,0,-33.47091245341089,-8.049239030842987
22,ABM,-1,1,1,-4,-0.529998779296875,0.7600059509277344,0.82000732421875,-2.3299903869628906,0,0,-33.47091245341089,-8.049239030842987
23,ABMD,-1,3,5,6,-3.459991455078125,16.67999267578125,25.550033569335938,44.210052490234375,0,0,-33.47091245341089,-8.049239030842987
24,ABNB,-1,3,5,2,-4.339996337890625,8.279998779296875,9.94000244140625,2.2100143432617188,0,0,-33.47091245341089,-8.049239030842987
25,ABR,-1,3,5,0,-0.07999992370605469,1.0500001907348633,1.1799993515014648,-0.529998779296875,0,0,-33.47091245341089,-8.049239030842987
26,ABST,-1,3,3,4,-0.23999977111816406,0.5799989700317383,0.4799985885620117,1.059995174407959,0,0,-33.47091245341089,-8.049239030842987
27,ABT,-1,3,3,4,-2.8000030517578125,4.810005187988281,5.1300048828125,5.800025939941406,0,0,-33.47091245341089,-8.049239030842987
28,ABTX,-1,3,5,9,-0.09999847412109375,1.720001220703125,2.7900047302246094,2.7700042724609375,0,0,-33.47091245341089,-8.049239030842987
29,ABUS,-1,3,1,6,-0.1699998378753662,0.1399998664855957,0.009999990463256836,0.40000009536743164,0,0,-33.47091245341089,-8.049239030842987
30,AC,0,1,1,3,0.0,2.220001220703125,2.7999954223632812,1.2159957885742188,0,0,-33.47091245341089,-8.049239030842987
31,ACA,-1,3,1,-10,-0.4900016784667969,3.1900062561035156,3.460010528564453,-1.9199790954589844,0,0,-33.47091245341089,-8.049239030842987
32,ACAD,-1,-1,-3,3,-0.6000003814697266,-0.1099996566772461,-0.4499998092651367,4.310004234313965,0,0,-33.47091245341089,-8.049239030842987
33,ACB,-1,1,3,1,-0.11000001430511475,0.039999961853027344,0.2100001573562622,-0.08000016212463379,0,0,-33.47091245341089,-8.049239030842987
34,ACBI,0,0,1,3,0.0,0.0,0.5900001525878906,1.539999008178711,0,0,-33.47091245341089,-8.049239030842987
35,ACC,-1,3,7,4,-0.04000091552734375,0.20999908447265625,0.600006103515625,-0.05999755859375,0,0,-33.47091245341089,-8.049239030842987
36,ACCD,-1,1,-1,4,-0.3599996566772461,0.6099996566772461,-0.6100015640258789,3.7049970626831055,0,0,-33.47091245341089,-8.049239030842987
